355: -19+27+0
356: -19+27+1
357: -19+27+2
358: -19+27+3
359: -19+27+4
360: -19+26+0
361: -19+26+1
362: -19+26+2
363: -19+26+3
364: -19+26+4
365: -19+25+0
366: -19+25+1
367: -19+25+2
368: -19+25+3
369: -19+25+4
370: -19+24+0
371: -19+24+1
372: -19+24+2
373: -19+24+3
374: -19+24+4
375: -19+23+0
376: -19+23+1
377: -19+23+2
378: -19+23+3
379: -19+23+4
380: -19+22+0
381: -19+22+1
382: -19+22+2
383: -19+22+3
384: -19+22+4
385: -19+21+0
386: -19+21+1
387: -19+21+2
388: -19+21+3
389: -19+21+4
390: -19+20+0
391: -19+20+1
392: -19+20+2
393: -19+20+3
394: -19+20+4
395: -19+19+0
396: -19+19+1
397: -19+19+2
398: -19+19+3
399: -19+19+4
400: -19+18+0
401: -19+18+1
402: -19+18+2
403: -19+18+3
404: -19+18+4
405: -19+17+0
406: -19+17+1
407: -19+17+2
408: -19+17+3
409: -19+17+4
410: -18+28+0
411: -18+28+1
412: -18+28+2
413: -18+28+3
414: -18+28+4
415: -18+27+0
416: -18+27+1
417: -18+27+2
418: -18+27+3
419: -18+27+4
420: -18+26+0
421: -18+26+1
422: -18+26+2
423: -18+26+3
424: -18+26+4
425: -18+25+0
426: -18+25+1
427: -18+25+2
428: -18+25+3
429: -18+25+4
430: -18+24+0
431: -18+24+1
432: -18+24+2
433: -18+24+3
434: -18+24+4
435: -18+23+0
436: -18+23+1
437: -18+23+2
438: -18+23+3
439: -18+23+4
440: -18+22+0
441: -18+22+1
442: -18+22+2
443: -18+22+3
444: -18+22+4
445: -18+20+0
446: -18+20+1
447: -18+20+2
448: -18+20+3
449: -18+20+4
450: -18+19+0
451: -18+19+1
452: -18+19+2
453: -18+19+3
454: -18+19+4
455: -18+18+0
456: -18+18+1
457: -18+18+2
458: -18+18+3
459: -18+18+4
460: -18+17+0
461: -18+17+1
462: -18+17+2
463: -18+17+3
464: -18+17+4
465: -18+16+0
466: -18+16+1
467: -18+16+2
468: -18+16+3
469: -18+16+4
470: -17+29+0
471: -17+29+1
472: -17+29+2
473: -17+29+3
474: -17+29+4
475: -17+28+0
476: -17+28+1
477: -17+28+2
478: -17+28+3
479: -17+28+4
480: -17+27+0
481: -17+27+1
482: -17+27+2
483: -17+27+3
484: -17+27+4
485: -17+26+0
486: -17+26+1
487: -17+26+2
488: -17+26+3
489: -17+26+4
490: -17+25+0
491: -17+25+1
492: -17+25+2
493: -17+25+3
494: -17+25+4
495: -17+24+0
496: -17+24+1
497: -17+24+2
498: -17+24+3
499: -17+24+4
500: -17+23+0
501: -17+23+1
502: -17+23+2
503: -17+23+3
504: -17+23+4
505: -17+22+0
506: -17+22+1
507: -17+22+2
508: -17+22+3
509: -17+22+4
510: -17+21+0
511: -17+21+1
512: -17+21+2
513: -17+21+3
514: -17+21+4
515: -17+20+0
